IDp,lifespan,lrs,lrssa,ngo.kk,prop.lrs.non.migrators
P0000037225,50.0232399179768,0,0,0,1
P0000037226,77.9986329460014,2,2,0,1
P0000037227,NA,NA,NA,NA,NA
P0000037228,NA,NA,NA,NA,NA
P0000037229,NA,NA,NA,NA,NA
P0000037230,NA,NA,NA,NA,NA
P0000037232,NA,NA,NA,NA,NA
P0000037233,NA,NA,NA,NA,NA
P0000037234,43.3246753246753,4,4,4,1
P0000037235,NA,NA,NA,NA,NA
P0000037236,68.9596719070403,2,2,0,1
P0000037237,NA,NA,NA,NA,NA
P0000037238,NA,NA,NA,NA,NA
P0000037239,NA,NA,NA,NA,NA
P0000037240,NA,NA,NA,NA,NA
P0000037241,NA,NA,NA,NA,NA
P0000037242,NA,NA,NA,NA,NA
P0000037243,NA,NA,NA,NA,NA
P0000037244,NA,NA,NA,NA,NA
P0000037245,NA,NA,NA,NA,NA
P0000037246,NA,NA,NA,NA,NA
P0000037247,NA,NA,NA,NA,NA
P0000037248,NA,NA,NA,NA,NA
P0000037249,NA,NA,NA,NA,NA
P0000037250,40.0164046479836,1,0,0,1
P0000037251,33.6568694463431,1,0,0,1
P0000037252,0.675324675324675,0,0,0,1
P0000037253,72.3144224196856,0,0,0,1
P0000037254,NA,NA,NA,NA,NA
P0000037255,NA,NA,NA,NA,NA
P0000037256,0,0,0,0,1
P0000037257,NA,NA,NA,NA,NA
P0000037258,NA,NA,NA,NA,NA
P0000037259,NA,NA,NA,NA,NA
P0000037260,0.0355434039644566,0,0,0,1
P0000037261,0.00273410799726589,0,0,0,1
P0000037262,0,0,0,0,1
P0000037263,NA,NA,NA,NA,NA
P0000037264,0,0,0,0,1
P0000037265,NA,NA,NA,NA,NA
P0000037266,NA,NA,NA,NA,NA
P0000037267,NA,NA,NA,NA,NA
P0000037268,NA,NA,NA,NA,NA
P0000037269,67.9480519480519,12,10,0,1
P0000037270,29.9275461380725,1,0,0,1
P0000037271,17.7224880382775,0,0,0,1
P0000037272,NA,NA,NA,NA,NA
P0000037273,NA,NA,NA,NA,NA
P0000037274,NA,NA,NA,NA,NA
P0000037275,0.125768967874231,0,0,0,1
P0000037276,NA,NA,NA,NA,NA
P0000037277,NA,NA,NA,NA,NA
P0000037278,NA,NA,NA,NA,NA
P0000037279,NA,NA,NA,NA,NA
